应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
船舶安全检验证书核发(营运检验);https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118044000&taskType=01&taskHandleItem=116200000138979102200011804400002;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\船舶安全检验证书核发(营运检验).png;
在公路周边一定范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床许可;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118033000&taskType=01&taskHandleItem=116200000138979102200011803300001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\在公路周边一定范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床许可.png;
高等学校教师资格认定;https://www.jszg.edu.cn/portal/home/index;https://www.jszg.edu.cn/portal/home/index;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\高等学校教师资格认定.png;
实有房屋信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009049000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009049000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_17_31_54\实有房屋信息自主填报.png;
往来港澳逗留签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳逗留签注签发.png;
对保护航标单位和个人的奖励;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000818001000&taskType=08&taskHandleItem=116200000138979102200081800100001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\对保护航标单位和个人的奖励.png;
地质灾害防治工作中做出突出贡献奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815005000&TaskHandleItem=11620000MB1674680L200081500500001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\地质灾害防治工作中做出突出贡献奖励.png;
普通护照首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\普通护照首次申请.png;
往来港澳商务签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳商务签注签发.png;
档案材料的收集、鉴别和归档;http://36.142.15.42:8088/ggfw/business?modelId=agArchCollectForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agArchCollectForGovPerUC&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketGyf9BzKq8Ljz4WuBMGSvUp8w136Xgr64&state=1163399722;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\档案材料的收集、鉴别和归档.png;
船员培训合格证书签发;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=a0431fc0-be63-4c01-960d-9f77aa1ed113;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=dbf86ae5-6fb2-4bf5-a511-c2cd667b0b32;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\船员培训合格证书签发.png;
对测绘成果管理工作的奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815013000&TaskHandleItem=11620000MB1674680L200081501300001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\对测绘成果管理工作的奖励.png;
外国企业常驻代表机构设立;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700001;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700001&code=90000&ticket=naturalTicket61379915179330124225121054929352&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\外国企业常驻代表机构设立.png;
办理机动车业务网上委托;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\办理机动车业务网上委托.png;
甘肃电力-用电用户其他办电项目-暂换;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket62099761222038173623116652319097&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-暂换.png;
一级注册计量师、二级注册计量师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\一级注册计量师、二级注册计量师.png;
分公司注销登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300008;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300008&code=90000&ticket=naturalTicket05438374776055718822072996128437&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\分公司注销登记.png;
工程咨询（投资）专业技术人员职业资格;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\工程咨询（投资）专业技术人员职业资格.png;
占用、挖掘公路、公路用地或者使公路改线审批;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118007000&taskType=01&taskHandleItem=116200000138979102200011800700001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\占用、挖掘公路、公路用地或者使公路改线审批.png;
企业退休人员领取养老待遇资格认证;http://www.12333.gov.cn/ggfwstatic/download/app.html;http://www.12333.gov.cn/ggfwstatic/download/app.html;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\企业退休人员领取养老待遇资格认证.png;
涉路施工公路施工作业验收;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000718001000&taskType=07&taskHandleItem=116200000138979102200071800100001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\涉路施工公路施工作业验收.png;
经济专业技术资格（初级、中级）;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\经济专业技术资格（初级、中级）.png;
停工留薪期确认和延长确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007020/002014007020;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007020/002014007020;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\停工留薪期确认和延长确认.png;
导游资格考试报名;https://c-dy.exam-sp.com/#/default/dy2020;https://c-dy.exam-sp.com/#/default/dy2020;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\导游资格考试报名.png;
依据档案记载出具相关证明;http://36.142.15.42:8088/ggfw/business?modelId=agIssueCertificatesForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agIssueCertificatesForGovPerUC&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketm9h1ZaWAGZUiqp6LitKepks95GjQ11OX&state=-1468869582;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\依据档案记载出具相关证明.png;
往来港澳通行证失效重新申请;https://gat.gansu.gov.cn;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\往来港澳通行证失效重新申请.png;
全国会计专业技术高级资格考试;http://kzp.mof.gov.cn/;http://kzp.mof.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\全国会计专业技术高级资格考试.png;
道路交通事故处理结果网上查询;https://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\道路交通事故处理结果网上查询.png;
道路交通事故处理进度网上查询;http://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\道路交通事故处理进度网上查询.png;
延期审验机动车驾驶证;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\延期审验机动车驾驶证.png;
社会保障卡信息变更;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=4;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\社会保障卡信息变更.png;
注册城乡规划师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\注册城乡规划师.png;
二级造价工程师执业资格认定（注销注册）;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=zjs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalXCRYweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级造价工程师执业资格认定（注销注册）.png;
国务院政府特殊津贴管理发放;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014207006/002014207006;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014207006/002014207006;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\国务院政府特殊津贴管理发放.png;
二级注册建筑师执业资格认定（延续注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzs&action=yxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级注册建筑师执业资格认定（延续注册）.png;
普通高中毕业证书遗失办理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\普通高中毕业证书遗失办理.png;
往来台湾通行证首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来台湾通行证首次申请.png;
赴台个人旅游签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e1;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e1;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\赴台个人旅游签注签发.png;
入境团队旅游邀请函;http://iae.cs.mfa.gov.cn/;http://iae.mfa.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\入境团队旅游邀请函.png;
补领机动车检验合格标志;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=973323a099c541e5e055000000000001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=973323a099c541e5e055000000000001;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\补领机动车检验合格标志.png;
住院伙食补助费申领;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007022/002014007022;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007022/002014007022;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\住院伙食补助费申领.png;
职称申报评审;http://www.gszcxt.cn/;http://gszcxt.cn/zcxt;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\职称申报评审.png;
大型焰火燃放作业人员资格证明核发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=402883385fa8e766015fa917bqq30016;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=402883385fa8e766015fa917bqq30016;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\大型焰火燃放作业人员资格证明核发.png;
交通违法罚款缴款;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\交通违法罚款缴款.png;
取消考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\取消考试预约.png;
甘肃电力-用电用户其他办电项目-恢复;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket68463411198724960657221643554158&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-恢复.png;
全省中等职业学校教师系列高级职称和省直中等职业学校教师系列中级职称评审;http://gszcxt.cn/zcxt;http://gszcxt.cn/zcxt;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\全省中等职业学校教师系列高级职称和省直中等职业学校教师系列中级职称评审.png;
赴台团队旅游签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\赴台团队旅游签注签发.png;
举办台湾地区的文艺表演团体、个人参加的营业性演出增加演出地备案;http://ccm.mct.gov.cn/;http://ccm.mct.gov.cn/ccnt/hbase/index.html;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\举办台湾地区的文艺表演团体、个人参加的营业性演出增加演出地备案.png;
船舶国籍证书核发;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118050000&taskType=01&taskHandleItem=&code=90000&ticket=naturalTicket68630839067252987615706379998856&authCode=mzEHLwxT7RnhA4wSBoxmVjYnLvV3cluhAe&flag=true;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\船舶国籍证书核发.png;
前往港澳通行证补发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\前往港澳通行证补发.png;
执业药师（药学、中药学）;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\执业药师（药学、中药学）.png;
特级教师评选;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\特级教师评选.png;
地名审批或核准;http://61.178.59.16:55003/netHandle/api/management/commonAccept?TaskCode=11620000013897654H2000711018000&taskHandleItem=11620000013897654H200071101800001;http://61.178.59.16:55003/netHandle/index?taskCode=11620000013897654H2000711018000&taskHandleItem=11620000013897654H200071101800001&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\地名审批或核准.png;
机关事业单位养老保险关系转移接续申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006013/002014006013;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006013/002014006013;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\机关事业单位养老保险关系转移接续申请.png;
国家科学技术奖励提名项目审核;https://xm.gskeju.cn/egrantweb/;https://xm.gskeju.cn/egrantweb/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\国家科学技术奖励提名项目审核.png;
考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\考试预约.png;
股权出质的设立;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200001;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200001;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\股权出质的设立.png;
一次性工伤医疗补助金申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007024/002014007024;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007024/002014007024;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\一次性工伤医疗补助金申请.png;
解除备案机动车;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\解除备案机动车.png;
涉外、涉港澳台、涉华侨结婚登记;http://hygl.mca.gov.cn/;http://hygl.mca.gov.cn/;一致;404;应用存在;None;pics\2022_06_07_17_31_54\涉外、涉港澳台、涉华侨结婚登记.png;
从业人员信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009055000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009055000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_17_31_54\从业人员信息自主填报.png;
中央机关及其直属机构考试录用公务员笔试甘肃考区报名确认;http://bm.scs.gov.cn/pp/gkweb/core/web/ui/business/home/gkhome.html;http://bm.scs.gov.cn/pp/gkweb/core/web/ui/business/home/gkhome.html;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\中央机关及其直属机构考试录用公务员笔试甘肃考区报名确认.png;
身份证办理进度查询;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=19;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=19;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\身份证办理进度查询.png;
劳动人事争议仲裁申请;http://36.142.15.42:8088/ggfw/business?modelId=f6963f59f9504763a315c65b869e73ee&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=f6963f59f9504763a315c65b869e73ee&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketHBxQcB83FFEvTDSQZru1ZuoPmtjmWEbi&state=1336784720;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\劳动人事争议仲裁申请.png;
合伙企业变更登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300052;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300052&code=90000&ticket=naturalTicket53049298415989121219732281781648&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\合伙企业变更登记.png;
监管场所会见网上预约;https://gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7f8fb01529d9d086e050015ff20af074;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\监管场所会见网上预约.png;
二级注册建筑师执业资格认定（初始注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzs&action=cszc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级注册建筑师执业资格认定（初始注册）.png;
甘肃电力-用电用户其他办电项目-分户;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket47636563935357228542112736493489&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-分户.png;
民用爆炸物品公共安全监督;http://zwfw.gat.gansu.gov.cn:28081/mbxtwlfwpt;http://zwfw.gat.gansu.gov.cn:28081/mbxtwlfwpt/loginService.do?method=getFbxx;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\民用爆炸物品公共安全监督.png;
补换领机动车号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\补换领机动车号牌.png;
社会保障卡补领、换领、换发;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=5;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会保障卡补领、换领、换发.png;
城镇职工基本养老保险关系转移接续申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006012/002014006012;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006012/002014006012;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\城镇职工基本养老保险关系转移接续申请.png;
领取一级至四级伤残职工工伤保险长期待遇资格认证;https://wsbs.rst.gansu.gov.cn/index;https://login.gjzwfw.gov.cn/tacs-uc/sso/upGrade;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\领取一级至四级伤残职工工伤保险长期待遇资格认证.png;
新能源汽车换发号牌预选号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\新能源汽车换发号牌预选号牌.png;
